Row Labels,Average of Predict.nDCG,Average of TopN.nDCG,Average of MAP,Average of MRR,,
ii,0.972467871,0.035648333,0.053651992,0.056355851,,
1,0.969797426,0.030574124,0.046284024,0.0524446,,
2,0.969245165,0.035765917,0.067632065,0.068236374,,
3,0.973049821,0.044948225,0.062939739,0.065671532,,
4,0.977018106,0.030083093,0.039953514,0.042196832,,
5,0.973228839,0.036870307,0.051450621,0.05322992,,
ii-log,0.958843503,0.114455091,0.164630156,0.191024165,,1
1,0.957461739,0.098065735,0.132694012,0.158355273,,
2,0.952299505,0.116081259,0.156379451,0.189686039,,
3,0.961214914,0.124856263,0.190458464,0.210356143,,
4,0.963224778,0.115311802,0.167721084,0.196594679,,
5,0.960016581,0.117960395,0.175897768,0.20012869,,
ii-svd-log,0.958794547,0.110471391,0.158678582,0.183748234,,
1,0.95732343,0.096212783,0.128537552,0.153318609,,
2,0.952316532,0.111487397,0.154086143,0.184519915,,
3,0.96145711,0.118195571,0.164818343,0.187562195,,
4,0.962814142,0.110864057,0.169768706,0.196320028,,
5,0.960061522,0.115597148,0.176182167,0.197020423,,
lucene,0.954851272,0.02840514,0.040412942,0.041419822,,
1,0.9555452,0.02912192,0.040018085,0.04378094,,
2,0.948598566,0.029512996,0.039789559,0.040355249,,
3,0.953741218,0.030748024,0.039317059,0.040162987,,
4,0.964075872,0.028762136,0.043039359,0.043318029,,
5,0.952295501,0.023880624,0.039900648,0.039481905,,
lucene-log,0.959112545,0.116982365,0.17457396,0.206442136,1,1
1,0.958118566,0.109421268,0.14545306,0.174670283,,
2,0.953207463,0.115914688,0.17293985,0.206865321,,
3,0.962515089,0.127768883,0.194840121,0.222008922,,
4,0.962295262,0.117155028,0.170197136,0.203634997,,
5,0.959426347,0.11465196,0.189439634,0.225031159,,
lucene-svd-log,0.959369234,0.117288221,0.17734627,0.208370416,1,1
1,0.958092504,0.109426535,0.150605488,0.179633586,,
2,0.953242756,0.116491155,0.173770843,0.207879697,,
3,0.962597045,0.128599571,0.199091698,0.226227298,,
4,0.962926907,0.116796165,0.170894409,0.198691317,,
5,0.959986959,0.11512768,0.192368913,0.229420183,,
popular,,0.11236117,0.168120458,0.195610858,,
1,,0.101818333,0.148451802,0.165989777,,
2,,0.116349157,0.164730815,0.19537063,,
3,,0.109571516,0.151342674,0.179684047,,
4,,0.113028747,0.175645157,0.203321462,,
5,,0.121038096,0.200431841,0.233688377,,
svd,0.972248307,0.051822908,0.079194201,0.087152994,,
1,0.968592671,0.055767729,0.095902951,0.10927593,,
2,0.969678835,0.042780793,0.063686609,0.067031224,,
3,0.970750273,0.063369144,0.098733588,0.107182837,,
4,0.976423334,0.053425407,0.077633885,0.088580618,,
5,0.975796424,0.043771469,0.06001397,0.063694361,,
svd-log,0.958024317,0.119444819,0.169298453,0.199902934,1,1
1,0.956756562,0.104463186,0.14086517,0.166372866,,
2,0.951902168,0.123558646,0.17606591,0.215175165,,
3,0.960957223,0.127585157,0.181461599,0.215188272,,
4,0.961788126,0.120749999,0.173024888,0.203686559,,
5,0.958717504,0.120867108,0.175074699,0.199091809,,
Grand Total,0.96171395,0.089653271,0.131767446,0.152225268,,